Sold_Both_Auction_Private_Treaty_MedianPrice, For_Rent_Home_Lease_AveragePrice, State, PropertyCategorisation, DateMonth, SA32011Name, SA32011Code, DateYear
870000.0,461.1154,"VIC","House",12,"Banyule",20901,2017
1760000.0,884.2058,"VIC","House",12,"Bayside",20801,2017
2100000.0,747.5883,"VIC","House",12,"Boroondara",20701,2017
609000.0,362.8017,"VIC","House",12,"Brimbank",21301,2017
1010000.0,545.3658,"VIC","House",12,"Brunswick - Coburg",20601,2017
512750.0,372.4656,"VIC","House",12,"Cardinia",21201,2017
620000.0,393.6953,"VIC","House",12,"Casey - North",21202,2017
547333.0,388.49,"VIC","House",12,"Casey - South",21203,2017
685000.0,397.5145,"VIC","House",12,"Dandenong",21204,2017
801000.0,421.39,"VIC","House",12,"Darebin - North",20902,2017
1271000.0,583.8746,"VIC","House",12,"Darebin - South",20602,2017
1240000.0,540.1976,"VIC","House",12,"Essendon",20603,2017
600000.0,399.7779,"VIC","House",12,"Frankston",21401,2017
1400000.0,637.0405,"VIC","House",12,"Glen Eira",20802,2017
885000.0,477.8423,"VIC","House",12,"Hobsons Bay",21302,2017
860000.0,454.8498,"VIC","House",12,"Keilor",21001,2017
960000.0,510.0696,"VIC","House",12,"Kingston",20803,2017
805000.0,429.6928,"VIC","House",12,"Knox",21101,2017
643750.0,443.7352,"VIC","House",12,"MacEdon Ranges",21002,2017
1280001.0,591.872,"VIC","House",12,"Manningham - East",21102,2017
1330000.0,548.2579,"VIC","House",12,"Manningham - West",20702,2017
880500.0,472.121,"VIC","House",12,"Maribyrnong",21303,2017
840000.0,433.0912,"VIC","House",12,"Maroondah",21103,2017
1190000.0,646.1031,"VIC","House",12,"Melbourne City",20604,2017
465000.0,361.1642,"VIC","House",12,"Melton - Bacchus Marsh",21304,2017
1205000.0,506.9406,"VIC","House",12,"Monash",21205,2017
710000.0,413.048,"VIC","House",12,"Moreland - North",21003,2017
750000.0,468.5328,"VIC","House",12,"Mornington Peninsula",21402,2017
855000.0,496.6152,"VIC","House",12,"Nillumbik - Kinglake",20903,2017
1630000.0,709.2635,"VIC","House",12,"Port Phillip",20605,2017
1918000.0,753.8805,"VIC","House",12,"Stonnington - East",20804,2017
1864500.0,813.1285,"VIC","House",12,"Stonnington - West",20606,2017
495000.0,372.4288,"VIC","House",12,"Sunbury",21004,2017
535000.0,374.5586,"VIC","House",12,"Tullamarine - Broadmeadows",21005,2017
1060000.0,460.4438,"VIC","House",12,"Whitehorse - East",21104,2017
1300000.0,507.1532,"VIC","House",12,"Whitehorse - West",20703,2017
590000.0,375.3383,"VIC","House",12,"Whittlesea - Wallan",20904,2017
520000.0,381.8637,"VIC","House",12,"Wyndham",21305,2017
1341000.0,687.6954,"VIC","House",12,"Yarra",20607,2017
680000.0,409.4922,"VIC","House",12,"Yarra Ranges",21105,2017
